##### Points inside Mask #####
7: (103.31932830810547, 149.4641571044922, 103.92959594726562)
8: (183.29322814941406, 129.7930908203125, 50.085968017578125)
9: (171.58273315429688, 145.27516174316406, 50.11757278442383)
10: (169.84518432617188, 140.11001586914062, 35.59637451171875)
11: (167.05296325683594, 143.58277893066406, 42.00249481201172)
12: (122.51370239257812, 157.7311248779297, 98.89164733886719)
13: (122.51952362060547, 158.62596130371094, 99.75517272949219)
14: (117.91805267333984, 161.8271484375, 110.02227020263672)
15: (180.44920349121094, 131.50088500976562, 54.083919525146484)
16: (130.24107360839844, 144.89842224121094, 89.162109375)
17: (117.84612274169922, 162.984130859375, 116.00939178466797)
18: (158.75631713867188, 156.88258361816406, 44.185672760009766)
19: (127.48649597167969, 164.37994384765625, 82.76974487304688)
20: (126.48301696777344, 149.01480102539062, 67.5995101928711)
21: (113.69059753417969, 151.9771728515625, 74.3258285522461)
22: (91.18611907958984, 153.7233428955078, 73.08171844482422)
23: (123.10884857177734, 149.84034729003906, 65.57286834716797)
24: (90.23989868164062, 156.53744506835938, 73.23177337646484)
25: (114.9358139038086, 139.74090576171875, 81.47982788085938)
26: (108.79737091064453, 148.19451904296875, 95.6026840209961)
27: (110.0108642578125, 157.0100555419922, 90.89031219482422)
28: (103.22412109375, 163.94802856445312, 103.29317474365234)
29: (99.67530822753906, 164.49317932128906, 107.56426239013672)
30: (101.4583740234375, 164.4181365966797, 106.11830139160156)
31: (95.86532592773438, 164.68911743164062, 114.30517578125)
32: (92.92911529541016, 152.5872802734375, 106.52891540527344)
33: (172.5224151611328, 145.97230529785156, 50.61936569213867)
34: (177.91798400878906, 146.1779022216797, 52.410465240478516)
35: (177.91603088378906, 146.42510986328125, 52.47772216796875)
36: (182.90054321289062, 149.5202178955078, 52.91136932373047)
37: (177.61819458007812, 147.88099670410156, 53.14298629760742)
38: (158.61924743652344, 156.65475463867188, 43.2057991027832)
39: (135.04212951660156, 144.21017456054688, 71.26428985595703)
40: (121.62774658203125, 149.76222229003906, 65.157470703125)
41: (142.80047607421875, 146.55911254882812, 69.46993255615234)
42: (133.5866241455078, 146.06582641601562, 73.4795150756836)
